Gene_Name,family,name
TBC1D22B,,
C14orf37,['IPR031524'],['Armadillo-like helical domain-containing protein 4']
PRR26,['IPR031524'],['Armadillo-like helical domain-containing protein 4']
KRT18,"['IPR002957', 'IPR027695']","['Keratin, type I', 'Keratin, type I cytoskeletal 18']"
ZNF441,,
DCBLD1,,
STRCP1,"['IPR026061', 'IPR026664']","['Stereocilin', 'Stereocilin-related']"
FAN1,['IPR033315'],['Fanconi-associated nuclease 1-like']
SSUH2,['IPR033271'],['Protein SSUH2 homologue']
PBRM1,['IPR037382'],['Remodelling complex subunit Rsc/polybromo']
PRSS27,['IPR001314'],"['Peptidase S1A, chymotrypsin family']"
IL19,"['IPR020421', 'IPR020443']","['Interleukin-19', 'Interleukin-10/19/20/22/24/26 family']"
CDHR5,['IPR030326'],['Cadherin-related family member 5']
JPH2,,
ADCK1,,
CIDEB,,
SCARB1,"['IPR002159', 'IPR005428']","['CD36 family', 'CD36/scavenger receptor class B member 1']"
THAP3,['IPR026520'],['THAP domain-containing protein 3']
TBK1,,
CHORDC1,['IPR039790'],['CHORD domain containing protein']
KLHL20,['IPR017096'],['BTB-kelch protein']
09-Sep,"['IPR016491', 'IPR030645']","['Septin', 'Septin 9']"
MDN1,,
LYRM2,['IPR008011'],['Complex 1 LYR protein']
ABHD3,['IPR012020'],['AB hydrolase 4 family']
U2AF1L4,['IPR009145'],['U2 auxiliary factor small subunit']
IL12RB2,,
TSPEAR,,
RGPD5,,
UBQLN2,"['IPR015496', 'IPR028430']","['Ubiquilin', 'Ubiquilin-2']"
OOSP1,"['IPR033218', 'IPR033222']","['Oocyte-secreted protein 1', 'PLAC1 family']"
GJB4,"['IPR000500', 'IPR002270']","['Connexin', 'Gap junction beta-4 protein (Cx31.1)']"
KIF2C,['IPR027640'],['Kinesin-like protein']
SSC4D,,
ATP6V0D2,"['IPR002843', 'IPR016727']","['ATPase, V0 complex,  c/d subunit', 'ATPase, V0 complex, subunit d']"
ACOT1,,
YRDC,,
ZFP41,,
C12orf29,,
MAB21L3,['IPR034324'],['Protein male abnormal 21-like 3']
TTC7B,,
GORASP1,['IPR007583'],['GRASP55/65']
ASL,"['IPR000362', 'IPR009049']","['Fumarate lyase family', 'Argininosuccinate lyase']"
CCDC89,"['IPR000362', 'IPR009049']","['Fumarate lyase family', 'Argininosuccinate lyase']"
RTP3,['IPR026096'],['Receptor-transporting protein']
OCSTAMP,['IPR026096'],['Receptor-transporting protein']
FOLH1B,['IPR039373'],['Glutamate carboxypeptidase 2-like']
NAT8,,
DDI1,,
C16orf90,['IPR027978'],['Protein of unknown function DUF4644']
TRPV4,"['IPR008347', 'IPR008348', 'IPR024862']","['Transient receptor potential channel, vanilloid 1-4', 'Transient receptor potential channel, vanilloid 4', 'Transient receptor potential cation channel subfamily V']"
STEAP1,,
HIST1H1C,['IPR005819'],['Linker histone H1/H5']
HIST1H1D,['IPR005819'],['Linker histone H1/H5']
HIST1H1B,,
HIF3A,['IPR021537'],"['Hypoxia-inducible factor, alpha subunit']"
CTLA4,"['IPR008096', 'IPR040216']","['Cytotoxic T-lymphocyte antigen 4', 'Cytotoxic T-lymphocyte protein 4/CD28']"
TAT,"['IPR005957', 'IPR005958']","['Tyrosine aminotransferase', 'Tyrosine/nicotianamine aminotransferase']"
NOC3L,,
FOXD4L1,,
CHP1,,
CLEC4C,,
OSMR,,
BPIFA3,['IPR032946'],['BPI fold-containing family A member 3']
IGKV1-16,,
FAM222B,['IPR029340'],['Protein FAM222']
AIFM3,,
ATAD2,['IPR031252'],['ATPase family AAA domain-containing protein 2']
IGKV1D-39,,
SREK1IP1,,
IL18R1,"['IPR004074', 'IPR015621']","['Interleukin-1 receptor type I/II', 'Interleukin-1 receptor family']"
MADCAM1,['IPR037413'],['Mucosal addressin cell adhesion molecule 1']
NOX3,"['IPR000778', 'IPR029653']","['Cytochrome b245, heavy chain', 'NADPH oxidase 3']"
SLC20A1,"['IPR000778', 'IPR029653']","['Cytochrome b245, heavy chain', 'NADPH oxidase 3']"
RTCB,"['IPR001233', 'IPR027513']","['RNA-splicing ligase, RtcB', 'RNA-splicing ligase RtcB homologue, eukaryotic']"
FBXO7,,
SLC39A9,['IPR003689'],['Zinc/iron permease']
TMEM106B,['IPR009790'],"['Protein of unknown function DUF1356, TMEM106']"
SLC30A2,['IPR002524'],['Cation efflux protein']
GAB1,,
PDCD6IP,,
GPR35,['IPR000276'],"['G protein-coupled receptor, rhodopsin-like']"
CAPN10,,
SMAD4,['IPR013790'],['Dwarfin']
NUP133,['IPR037624'],['Nuclear pore complex protein Nup133-like']
RXFP1,['IPR000276'],"['G protein-coupled receptor, rhodopsin-like']"
LGR6,"['IPR000276', 'IPR002131']","['G protein-coupled receptor, rhodopsin-like', 'Glycoprotein hormone receptor family']"
NEK6,,
SND1-IT1,,
,,
BIRC3,,
TCIRG1,['IPR002490'],"['V-type  ATPase, V0 complex, 116kDa subunit family']"
SNAPC2,['IPR021281'],['Small nuclear RNA activating complex subunit 2-like']
CYTH4,,
AKAP14,['IPR025663'],['A-kinase anchor protein 28kDa']
ANK2,,
C9orf163,,
RTN4RL2,,
RTN4RL1,,
MFSD2B,['IPR039672'],['Lactose permease-like']
ZNF251,,
LMBRD1,['IPR006876'],['LMBR1-like membrane protein']
XPO7,,
ACER3,['IPR008901'],['Alkaline ceramidase']
PICALM,['IPR030412'],['Phosphatidylinositol-binding clathrin assembly protein']
ADGRL4,['IPR000832'],"['GPCR, family 2, secretin-like']"
GPM6B,,
BIRC2,,
MTM1,"['IPR030561', 'IPR030564']","['Myotubularin', 'Myotubularin family']"
MAMLD1,"['IPR030561', 'IPR030564']","['Myotubularin', 'Myotubularin family']"
NEMP2,['IPR019358'],['NEMP family']
LRRC4,['IPR026882'],['Leucine-rich repeat-containing protein 4']
MUC5B,,
SDHAF1,['IPR008011'],['Complex 1 LYR protein']
LPAR2,"['IPR000276', 'IPR004065', 'IPR004066']","['G protein-coupled receptor, rhodopsin-like', 'Lysophosphatidic acid receptor', 'Lysophosphatidic acid receptor EDG-4']"
MAJIN,['IPR027816'],['Membrane-anchored junction protein']
CD84,,
FABP5,['IPR031259'],['Intracellular lipid binding protein']
TTC34,['IPR042161'],['Tetratricopeptide repeat protein 34']
DCAF13,,
SH2D3A,,
VPS25,['IPR008570'],"['ESCRT-II complex, Vps25 subunit']"
ZBTB20,,
PTPMT1,['IPR042165'],['Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1']
CENPJ,['IPR026581'],['T-complex protein 10 family']
FSCB,['IPR043375'],['Fibrous sheath CABYR-binding protein']
POPDC3,['IPR006916'],['Popeye protein']
CRLF2,,
SPACA1,['IPR037878'],['Sperm acrosome membrane-associated protein 1']
ASCC1,,
LRRC57,,
GPAT4,,
BANP,['IPR042343'],['Protein BANP']
SH3BP1,,
EIF1AD,,
RAP2C,"['IPR001806', 'IPR020849']","['Small GTPase', 'Small GTPase superfamily, Ras-type']"
FKBP4,['IPR031212'],['Peptidyl-prolyl cis-trans isomerase FKBP4']
FAM24A,['IPR028122'],['FAM24 family']
BLOC1S4,['IPR024857'],['Cappuccino']
TMEM140,['IPR024857'],['Cappuccino']
CPPED1,,
LCMT1,"['IPR007213', 'IPR016651']","['Methyltransferase Ppm1/Ppm2/Tcmp', 'Leucine carboxyl methyltransferase 1']"
CTBS,,
PMP22,"['IPR003936', 'IPR004031', 'IPR004032']","['Peripheral myelin protein PMP22', 'PMP-22/EMP/MP20/Claudin superfamily', 'PMP-22/EMP/MP20']"
MAGI2,['IPR030036'],"['Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 2']"
TRMT13,['IPR039044'],['tRNA:m(4)X modification enzyme Trm13']
LIN7C,['IPR017365'],['Protein lin-7']
CEMIP,,
CYB5D2,,
POPDC2,,
DDX60L,,
STYX,,
ETNK1,,
FAM124A,['IPR029380'],['FAM124']
TRABD2A,"['IPR002816', 'IPR040230']","['TraB family', 'Metalloprotease TIKI1/2-like']"
SPANXA2-OT1,"['IPR002816', 'IPR040230']","['TraB family', 'Metalloprotease TIKI1/2-like']"
PIGY,"['IPR029164', 'IPR033535']","['Phosphatidylinositol N-acetylglucosaminyltransferase subunit Y', 'Phosphatidylinositol N-acetylglucosaminyltransferase subunit Y, chordates']"
GOLT1B,['IPR007305'],"['Vesicle transport protein, Got1/SFT2-like']"
BOLA1,['IPR002634'],['BolA protein']
HDGFL3,,
LUZP1,['IPR026734'],['Leucine zipper protein 1']
SMG6,,
ANKRD55,,
NSMCE1,['IPR011513'],['Non-structural maintenance of chromosomes element 1']
CHMP3,['IPR005024'],['Snf7 family']
MAP3K10,"['IPR015785', 'IPR016231']","['Mitogen-activated protein (MAP) kinase kinase kinase 10', 'Mitogen-activated protein (MAP) kinase kinase kinase, MLK1-4']"
SIGMAR1,['IPR006716'],['ERG2/sigma1 receptor-like']
MYL7,,
DECR2,['IPR002347'],['Short-chain dehydrogenase/reductase SDR']
PTRH2,['IPR002833'],"['Peptidyl-tRNA hydrolase, PTH2']"
BARD1,,
BLNK,,
HNRNPAB,,
SLC30A3,,
CACTIN,,
TIMP4,"['IPR001820', 'IPR015614']","['Protease inhibitor I35 (TIMP)', 'Metalloproteinase inhibitor 4']"
PHLDA1,['IPR042832'],['PHLDA family']
TC2N,,
NOXA1,['IPR034899'],['NADPH oxidase activator 1']
NKAPP1,['IPR034899'],['NADPH oxidase activator 1']
KRI1,['IPR018034'],['KRR1 interacting protein 1']
TTC4,,
GPR75,['IPR000276'],"['G protein-coupled receptor, rhodopsin-like']"
,['IPR000276'],"['G protein-coupled receptor, rhodopsin-like']"
CABP7,,
RIMS1,['IPR030630'],['Regulating synaptic membrane exocytosis protein 1']
ZNF791,,
KCNJ15,"['IPR003270', 'IPR016449']","['Potassium channel, inwardly rectifying, Kir1.3', 'Potassium channel, inwardly rectifying, Kir']"
FBLIM1,"['IPR003270', 'IPR016449']","['Potassium channel, inwardly rectifying, Kir1.3', 'Potassium channel, inwardly rectifying, Kir']"
STRAP,,
AMPD3,['IPR006329'],['AMP deaminase']
TEK,,
ABHD10,,
AMPD2,['IPR006329'],['AMP deaminase']
TCP11L1,['IPR006329'],['AMP deaminase']
SFT2D1,['IPR007305'],"['Vesicle transport protein, Got1/SFT2-like']"
SEC22C,['IPR043546'],['Vesicle-trafficking protein Sec22a/c']
05-Sep,['IPR030647'],['Septin 5']
SRSF8,,
SMAD5,['IPR013790'],['Dwarfin']
NDST3,['IPR037359'],['Heparan sulfate sulfotransferase']
TMEM255B,['IPR037359'],['Heparan sulfate sulfotransferase']
PLCXD1,['IPR042158'],['PI-PLC X domain-containing protein 1/2/3']
COL12A1,,
DCAF4,,
TMEM50A,['IPR007919'],['Uncharacterised protein family UPF0220']
HSD17B10,['IPR002347'],['Short-chain dehydrogenase/reductase SDR']
AACS,,
FAM35A,['IPR029715'],['Shieldin complex subunit 2']
ZNF589,,
CER1,['IPR016860'],['Cerberus']
CAVIN2,"['IPR026752', 'IPR033298']","['Cavin family', 'Caveolae-associated protein 2']"
SNX31,,
NFE4,,
INAVA,['IPR043447'],['CCDC120/INAVA']
VASH2,['IPR028131'],['Tubulinyl-Tyr carboxypeptidase']
GTSCR1,['IPR028131'],['Tubulinyl-Tyr carboxypeptidase']
ABCA13,['IPR026082'],['ABC transporter A']
ADIPOR2,['IPR004254'],['AdipoR/Haemolysin-III-related']
ATXN2,['IPR033093'],['Ataxin-2']
MBNL3,,
RBBP8,"['IPR033316', 'IPR033594']","['DNA endonuclease RBBP8-like', 'DNA endonuclease RBBP8']"
BAG3,['IPR039773'],['Molecular chaperone regulator BAG']
BAG2,['IPR037689'],['BAG family molecular chaperone regulator 2']
SDF4,,
LZTS2,['IPR028597'],['Leucine zipper putative tumour suppressor 2']
KIR2DL4,,
MXRA8,['IPR042472'],['Matrix remodeling-associated protein 8']
ORAOV1,['IPR042472'],['Matrix remodeling-associated protein 8']
MTR,,
DOK1,,
MCHR1,"['IPR000276', 'IPR004047', 'IPR008361']","['G protein-coupled receptor, rhodopsin-like', 'Melanin-concentrating hormone 1 receptor', 'Melanin-concentrating hormone receptor']"
MAP4K4,,
CDH24,['IPR039808'],['Cadherin']
LINC00304,['IPR039808'],['Cadherin']
CDRT4,['IPR029185'],['CMT1A duplicated region transcript 4 protein']
REEP2,['IPR004345'],['TB2/DP1/HVA22-related protein']
MLYCD,['IPR038917'],['Malonyl-CoA decarboxylase']
ARNT2,['IPR001067'],['Nuclear translocator']
LHFPL3,['IPR019372'],['Lipoma HMGIC fusion partner-like protein']
GTF2IRD2,,
SCAI,['IPR022709'],['Protein SCAI']
CUZD1,,
MAP2K1,,
CASZ1,,
ZFHX4,,
KTN1,['IPR024854'],['Kinectin']
GALK2,"['IPR000705', 'IPR006206']","['Galactokinase', 'Mevalonate/galactokinase']"
GUCA2A,['IPR000879'],['Guanylin']
STAU2,,
GCNT1,,
C19orf66,['IPR026795'],['Shiftless antiviral inhibitor of ribosomal frameshifting']
UBTD2,['IPR039869'],['Ubiquitin domain-containing protein 1/2']
DDX28,,
MRPL45,,
CRYZL1,['IPR042633'],['Quinone oxidoreductase-like protein 1']
SGK2,,
MESP1,,
NUDT16L1,,
C7orf50,,
ARFIP1,['IPR030793'],['Arfaptin-1']
KCNAB1,"['IPR005399', 'IPR005983']","['Potassium channel, voltage-dependent, beta subunit, KCNAB-related', 'Potassium channel, voltage-dependent, beta subunit, KCNAB']"
AIFM1,,
ZCCHC3,['IPR042509'],['Zinc finger CCHC domain-containing protein 3']
KCNB1,"['IPR003973', 'IPR004350', 'IPR028325']","['Potassium channel, voltage dependent, Kv2', 'Potassium channel, voltage dependent, Kv2.1', 'Voltage-gated potassium channel']"
C20orf96,['IPR029236'],['Protein of unknown function DUF4618']
ARFIP2,['IPR030798'],['Arfaptin family']
CT55,,
PIGV,['IPR007315'],['GPI mannosyltransferase 2']
LATS1,['IPR028741'],['Serine/threonine-protein kinase LATS1']
EML2,,
CLIC3,"['IPR002946', 'IPR030261', 'IPR040079']","['Intracellular chloride channel', 'Chloride intracellular channel protein 3', 'Glutathione Transferase family']"
CLDN1,"['IPR004031', 'IPR006187']","['PMP-22/EMP/MP20/Claudin superfamily', 'Claudin']"
MFSD10,['IPR011701'],['Major facilitator superfamily']
SYT2,,
FADS6,,
ODF3B,,
RRP7A,,
EXD3,,
MOB4,,
C1orf127,,
C8orf31,,
TMED5,"['IPR015717', 'IPR015720']","['Transmembrane emp24 domain-containing protein 5', 'TMP21-related']"
TXNDC17,,
SBDS,"['IPR002140', 'IPR039100']","['Ribosome maturation protein Sdo1/SBDS', 'Ribosome maturation protein Sdo1/SBDS-like']"
COQ4,['IPR027540'],"['Ubiquinone biosynthesis protein Coq4, eukaryotes']"
SLCO6A1,['IPR004156'],['Organic anion transporter polypeptide']
APOBEC3G,['IPR040551'],['DNA dC->dU-editing enzyme APOBEC-3G']
UTP11,['IPR007144'],"['Small-subunit processome, Utp11']"
NUDT6,['IPR003293'],['Nudix hydrolase 6-like']
GLP2R,"['IPR000832', 'IPR039125']","['GPCR, family 2, secretin-like', 'GPCR family 2, glucagon-like peptide 2 receptor']"
COL18A1,,
ZDHHC18,,
GPN3,['IPR030228'],['GPN-loop GTPase 3']
GNA14,['IPR000654'],"['G-protein alpha subunit, group Q']"
PJVK,['IPR007677'],['Gasdermin']
NAA38,,
FABP4,"['IPR031259', 'IPR033073']","['Intracellular lipid binding protein', 'Fatty acid-binding protein 4']"
SLC12A6,"['IPR000076', 'IPR004842', 'IPR030364']","['K/Cl co-transporter', 'SLC12A transporter family', 'K/Cl co-transporter 3']"
OTOF,['IPR029996'],['Otoferlin']
MYO7A,,
ANGPTL1,,
CHPT1,"['IPR000462', 'IPR014472']","['CDP-alcohol phosphatidyltransferase', 'Choline/ethanolamine phosphotransferase']"
PMS2P3,['IPR038973'],['DNA mismatch repair protein MutL/Mlh/Pms']
CCDC12,['IPR038973'],['DNA mismatch repair protein MutL/Mlh/Pms']
XIRP2,['IPR030107'],['Xin actin-binding repeat-containing protein 2']
RAB2B,['IPR001806'],['Small GTPase']
MRPL49,['IPR007740'],['Ribosomal protein L49/IMG2']
UBE2V1,,
GUCA1C,"['IPR028846', 'IPR032992']","['Recoverin family', 'Guanylyl cyclase-activating protein 3']"
DYNC1I2,['IPR025956'],['Cytoplasmic dynein 1 intermediate chain 1/2']
LBR,['IPR001171'],['Ergosterol biosynthesis ERG4/ERG24']
PPP2R5D,,
TMEM202,,
SF3B6,,
MRPL11,"['IPR000911', 'IPR006519']","['Ribosomal protein L11/L12', 'Ribosomal protein L11, bacterial-type']"
EMC9,,
CCDC190,,
COL15A1,['IPR039070'],['Collagen alpha-1(XV) chain']
,['IPR039070'],['Collagen alpha-1(XV) chain']
PRELID3B,['IPR037365'],['Slowmo/Ups family']
TMEM191C,['IPR028186'],['Transmembrane protein 191B/C']
ADGRE2,"['IPR000832', 'IPR003056']","['GPCR, family 2, secretin-like', 'GPCR, family 2, ADGRE2/ADGRE5']"
CTAGE6,"['IPR000832', 'IPR003056']","['GPCR, family 2, secretin-like', 'GPCR, family 2, ADGRE2/ADGRE5']"
TMED7,"['IPR015718', 'IPR015720']","['Transmembrane emp24 domain-containing protein 7', 'TMP21-related']"
TSPAN33,"['IPR000301', 'IPR018499']","['Tetraspanin', 'Tetraspanin/Peripherin']"
PUF60,['IPR006532'],"['Poly-U binding splicing factor, half-pint']"
TMEM165,['IPR001727'],['Gdt1 family']
EXOSC1,['IPR039771'],['Exosome complex component Csl4']
NUDT14,['IPR004385'],['Nucleoside diphosphate pyrophosphatase']
HELZ,,
SLC25A27,,
MAD2L2,,
RRP15,['IPR012459'],['Ribosomal RNA-processing protein 15']
NCAPD3,"['IPR012371', 'IPR026971']","['Condensin-2 complex subunit D3', 'Condensin subunit 1/Condensin-2 complex subunit D3']"
RBM34,,
REXO2,['IPR022894'],['Oligoribonuclease']
PRSS44,['IPR022894'],['Oligoribonuclease']
BTN1A1,,
EVPLL,,
TSPAN13,['IPR000301'],['Tetraspanin']
ORC2,['IPR007220'],"['Origin recognition complex, subunit 2']"
ORC1,['IPR020793'],"['Origin recognition complex, subunit 1']"
COG2,['IPR009316'],"['COG complex component, COG2']"
NUBP1,"['IPR019591', 'IPR028601']","['Mrp/NBP35 ATP-binding protein', 'Cytosolic Fe-S cluster assembly factor NUBP1/Nbp35']"
WASHC3,"['IPR019591', 'IPR028601']","['Mrp/NBP35 ATP-binding protein', 'Cytosolic Fe-S cluster assembly factor NUBP1/Nbp35']"
GNMT,['IPR014369'],['Glycine/Sarcosine N-methyltransferase']
ILK,,
TMEM221,,
WIPF3,,
PPIL1,['IPR024936'],['Cyclophilin-type peptidyl-prolyl cis-trans isomerase']
NRBP1,,
LRRTM1,,
GDPD1,,
RNF11,,
UFC1,['IPR014806'],['Ubiquitin-fold modifier-conjugating enzyme 1']
MTDH,['IPR031402'],['Protein LYRIC']
MED31,,
ZNF546,,
TBC1D3G,,
NOP16,,
ZNF454,,
TPRKB,['IPR013926'],['CGI121/TPRKB']
TLCD2,,
TEC,,
TAF7L,['IPR037817'],['Transcription initiation factor TFIID subunit 7']
FEZ2,"['IPR011680', 'IPR015641']","['Fasciculation and elongation protein zeta, FEZ', 'Fasciculation and elongation protein zeta 2']"
TXK,,
ENOPH1,"['IPR006439', 'IPR023943', 'IPR027511']","['HAD hydrolase, subfamily IA', 'Enolase-phosphatase E1', 'Enolase-phosphatase E1, eukaryotes']"
TSPAN12,"['IPR000301', 'IPR018499']","['Tetraspanin', 'Tetraspanin/Peripherin']"
TSPAN15,['IPR018499'],['Tetraspanin/Peripherin']
CCM2L,,
ABL2,,
FRK,,
TCEAL5,['IPR021156'],['Transcription elongation factor A-like/Brain expressed X-linked']
TLK2,['IPR027086'],['Serine/threonine-protein kinase TOUSLED-like 2']
PDRG1,"['IPR002777', 'IPR030482']","['Prefoldin beta-like', 'p53 and DNA damage-regulated protein 1']"
SNTA1,['IPR015482'],['Syntrophin']
FADS2,['IPR012171'],['Fatty acid desaturase']
NNT,['IPR026255'],"['NAD(P) transhydrogenase, alpha subunit']"
SNAI1,,
IKZF1,,
BPNT1,,
MSLN,"['IPR010335', 'IPR026664']","['Mesothelin', 'Stereocilin-related']"
FAM216A,"['IPR010335', 'IPR026664']","['Mesothelin', 'Stereocilin-related']"
,"['IPR010335', 'IPR026664']","['Mesothelin', 'Stereocilin-related']"
LY6G6D,['IPR026524'],['Lymphocyte antigen 6 complex locus protein G6d/G6f']
ACLY,"['IPR002020', 'IPR014608']","['Citrate synthase', 'ATP-citrate synthase']"
TCOF1,,
LY6G6C,['IPR039237'],['Lymphocyte antigen 6 complex locus protein G6c']
PPIG,,
MPIG6B,['IPR028070'],['G6B family']
XRCC4,['IPR010585'],['DNA repair protein XRCC4']
SNTB2,"['IPR015482', 'IPR028550']","['Syntrophin', 'Beta-2-syntrophin']"
DDAH2,"['IPR033199', 'IPR033202']","['Dimethylarginine dimethylaminohydrolase', 'N(G),N(G)-dimethylarginine dimethylaminohydrolase 2']"
FAM96B,,
MYO9A,['IPR028558'],['Unconventional myosin-IXa']
EFCAB9,['IPR042798'],['EF-hand calcium-binding domain-containing protein 9']
PHF10,['IPR038045'],['PHD finger protein 10']
NAT8L,,
SAMD4B,,
SLC9B2,['IPR037072'],['Sodium/hydrogen exchanger 9B2']
RPS27,['IPR000592'],['Ribosomal protein S27e']
PAM16,['IPR005341'],['Mitochondrial import inner membrane translocase subunit Tim16']
ZNF329,['IPR005341'],['Mitochondrial import inner membrane translocase subunit Tim16']
FIS1,['IPR016543'],['Mitochondria fission 1 protein']
MRPS23,['IPR019520'],"['Ribosomal protein S23, mitochondrial']"
03-Mar,,
MATK,,
CPA3,,
AK6,['IPR020618'],['Adenylate kinase isoenzyme 6']
MRPS16,['IPR000307'],['Ribosomal protein S16']
OAF,['IPR026315'],['Out at first protein']
SAPCD2,['IPR026828'],['Suppressor APC domain-containing protein 1/2']
MSRB2,['IPR028427'],['Peptide methionine sulfoxide reductase']
CPB1,,
MRPS18C,['IPR001648'],['Ribosomal protein S18']
TAF9B,['IPR003162'],['Transcription initiation factor TAFII31']
CPA1,,
ZSCAN5C,,
VEZT,['IPR026858'],['Vezatin']
SPC25,['IPR013255'],['Chromosome segregation protein Spc25']
MUM1L1,['IPR040263'],['PWWP domain-containing DNA repair factor 3A/B']
PTPRCAP,['IPR016553'],['Protein tyrosine phosphatase receptor type C-associated protein']
TBC1D26,,
TMEM14B,['IPR005349'],['TMEM14 family']
SF3B2,,
LTBP1,,
STAT4,,
MKRN4P,,
SENP2,,
C6orf47,,
SLC39A6,['IPR003689'],['Zinc/iron permease']
PRSS50,['IPR001314'],"['Peptidase S1A, chymotrypsin family']"
MVP,['IPR039059'],['Major vault protein']
GPANK1,['IPR039146'],['G patch domain and ankyrin repeat-containing protein 1']
BARX1,,
HSPA2,['IPR013126'],['Heat shock protein 70 family']
UNC119,['IPR032977'],['Protein unc-119 homologue A-like']
GOLGA4,,
C19orf47,['IPR039161'],['Uncharacterized protein C19orf47-like']
OS9,,
HDAC7,"['IPR000286', 'IPR017320']","['Histone deacetylase family', 'Histone deacetylase class II, eukaryotic']"
WDPCP,['IPR024511'],['WD repeat-containing and planar cell polarity effector protein Fritz']
LTBP2,,
TMEM102,['IPR024806'],['Transmembrane protein 102']
LEUTX,,
ABCA12,"['IPR026082', 'IPR030371']","['ABC transporter A', 'ATP-binding cassette subfamily A member 12']"
ABHD16A,['IPR026604'],['Phosphatidylserine lipase ABHD16A']
ARMCX4,,
ZNF598,,
DCAF8L1,,
POTEC,,
EVC2,"['IPR022076', 'IPR026501']","['Limbin', 'Limbin/Ellis-van Creveld protein']"
ZNF287,,
MRM2,['IPR015507'],['Ribosomal RNA large subunit methyltransferase E']
WFDC1,['IPR042357'],['WAP four-disulfide core domain protein 1']
CDH20,['IPR039808'],['Cadherin']
PCDH9,,
CPA4,,
SLC24A3,"['IPR004481', 'IPR030248']","['Sodium/potassium/calcium exchanger', 'Sodium/potassium/calcium exchanger 3']"
SLC24A2,"['IPR004481', 'IPR030236']","['Sodium/potassium/calcium exchanger', 'Sodium/potassium/calcium exchanger 2']"
ZNF286A,,
PDAP1,,
ICAM4,,
CTNNA3,"['IPR001033', 'IPR030044']","['Alpha-catenin', 'Alpha T-catenin']"
DNAI1,,
CBX8,,
PPP6R3,['IPR007587'],['SIT4 phosphatase-associated protein family']
MOB3C,,
DLGAP3,"['IPR005026', 'IPR030526']","['SAPAP family', 'Disks large-associated protein 3']"
TMED1,['IPR015720'],['TMP21-related']
MOB2,['IPR005301'],['MOB kinase activator family']
ADAM15,['IPR033605'],['ADAM15 peptidase']
HLX,,
ADAM9,,
TMEM263,['IPR028153'],"['Transmembrane protein C12orf23, UPF0444']"
ZIC4,,
LSAMP,,
NSUN2,['IPR023267'],['RNA (C5-cytosine) methyltransferase']
ZBTB40,['IPR030404'],['Zinc finger and BTB domain-containing protein 40']
URAD,,
ACOT4,['IPR016662'],"['Acyl-CoA thioesterase, long chain']"
TXNDC12,['IPR037462'],['ERp19']
,['IPR037462'],['ERp19']
CHURC1,,
,,
,,
TGFBRAP1,,
CTAGE1,,
DCAF17,['IPR031620'],['DDB1- and CUL4-associated factor 17']
GPBP1L1,['IPR028128'],['Vasculin family']
ACSS1,['IPR011904'],['Acetate-CoA ligase']
FKBP5,['IPR031210'],['Peptidyl-prolyl cis-trans isomerase FKBP5']
BUD13,['IPR018609'],['Bud13']
CBX2,['IPR042796'],['Chromobox protein homolog 2']
OLFM2,['IPR031219'],['Noelin-2']
C20orf141,['IPR040425'],['Uncharacterized protein C20orf141-like']
TUSC3,['IPR021149'],"['Oligosaccharyl transferase complex, subunit OST3/OST6']"
SLC22A17,,
MYO9B,['IPR028557'],['Unconventional myosin-IXb']
GOLGB1,['IPR026202'],['Golgin subfamily B member 1']
TRMT9B,['IPR026202'],['Golgin subfamily B member 1']
ZNF565,,
C9orf92,,
,,
GLOD4,['IPR043193'],['Glyoxalase domain-containing protein 4']
GRIK1,['IPR001508'],"['Ionotropic glutamate receptor, metazoa']"
C2orf71,['IPR029352'],['Photoreceptor cilium actin regulator']
PLCD4,['IPR001192'],['Phosphoinositide phospholipase C family']
EML4,,
CASP8,['IPR002398'],['Peptidase C14 family']
MRM3,,
SERTAD4,,
ROCK1,['IPR020684'],['Rho-associated protein kinase 1/2']
SLC38A10,['IPR020684'],['Rho-associated protein kinase 1/2']
FOXE3,,
FAM172A,['IPR039929'],['Cotranscriptional regulator FAM172A']
FZD5,['IPR015526'],['Frizzled/secreted frizzled-related protein']
BCAT1,"['IPR001544', 'IPR005786', 'IPR033939']","['Aminotransferase class IV', 'Branched-chain amino acid aminotransferase II', 'Branched-chain aminotransferase']"
PPP1R13L,['IPR028320'],['RelA-associated inhibitor']
MECOM,['IPR028320'],['RelA-associated inhibitor']
DAPK1,['IPR020676'],['Death-associated protein kinase 1']
KCNU1,,
PLK1,,
NFATC2,['IPR008366'],['Nuclear factor of activated T cells (NFAT)']
DTX3,['IPR039398'],['Deltex family']
PITPNA,['IPR001666'],['Phosphatidylinositol transfer protein']
PIGQ,['IPR001666'],['Phosphatidylinositol transfer protein']
SERTAD1,['IPR001666'],['Phosphatidylinositol transfer protein']
GOLGA2P5,['IPR001666'],['Phosphatidylinositol transfer protein']
,['IPR001666'],['Phosphatidylinositol transfer protein']
CCDC160,['IPR001666'],['Phosphatidylinositol transfer protein']
ANKRD61,,
NOD2,,
MOB1B,['IPR005301'],['MOB kinase activator family']
TMBIM4,['IPR005301'],['MOB kinase activator family']
RAPGEFL1,['IPR008937'],['Ras-like guanine nucleotide exchange factor']
DCDC2C,,
TNK1,,
PROK2,['IPR009523'],['Prokineticin']
