Gene_Name,domains,name
EPYC,['IPR000372'],['Leucine-rich repeat N-terminal domain']
SETD7,['IPR001214'],['SET domain']
C2orf15,,
TOX2,,
SDHC,,
ABHD5,['IPR000073'],['Alpha/beta hydrolase fold-1']
PKMYT1,['IPR000719'],['Protein kinase domain']
PTPN2,"['IPR000242', 'IPR000387', 'IPR003595']","['PTP type protein phosphatase', 'Tyrosine specific protein phosphatases domain', 'Protein-tyrosine phosphatase, catalytic']"
LDB1,['IPR041363'],['LIM interaction domain']
AMD1,,
NEURL2,"['IPR001496', 'IPR006573']","['SOCS box domain', 'Neuralized homology repeat (NHR) domain']"
PNPLA1,['IPR002641'],['Patatin-like phospholipase domain']
C7orf33,,
MRPL43,['IPR007741'],['Ribosomal protein/NADH dehydrogenase domain']
TMEM95,,
NOSIP,,
SLC27A6,"['IPR000873', 'IPR025110']","['AMP-dependent synthetase/ligase', 'AMP-binding enzyme, C-terminal domain']"
TMEM105,"['IPR000873', 'IPR025110']","['AMP-dependent synthetase/ligase', 'AMP-binding enzyme, C-terminal domain']"
SULT4A1,,
MEMO1,,
NSUN5P1,['IPR001678'],['SAM-dependent methyltransferase RsmB/NOP2-type']
DERA,,
SLC27A5,"['IPR000873', 'IPR025110']","['AMP-dependent synthetase/ligase', 'AMP-binding enzyme, C-terminal domain']"
,"['IPR000873', 'IPR025110']","['AMP-dependent synthetase/ligase', 'AMP-binding enzyme, C-terminal domain']"
ZNF835,['IPR013087'],['Zinc finger C2H2-type']
PCYOX1,['IPR010795'],['Prenylcysteine lyase']
PCSK1N,,
AAR2,['IPR033647'],"['AAR2, N-terminal']"
GAPDH,"['IPR020828', 'IPR020829']","['Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain', 'Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain']"
DCDC2,,
RCL1,,
ZNF256,"['IPR001909', 'IPR013087']","['Krueppel-associated box', 'Zinc finger C2H2-type']"
GINM1,,
TMEM74,,
GDPD5,['IPR030395'],['Glycerophosphodiester phosphodiesterase domain']
RUNDC3B,['IPR004012'],['RUN domain']
ZNF599,"['IPR001909', 'IPR013087']","['Krueppel-associated box', 'Zinc finger C2H2-type']"
DUSP19,"['IPR000340', 'IPR000387', 'IPR020422']","['Dual specificity phosphatase, catalytic domain', 'Tyrosine specific protein phosphatases domain', 'Dual specificity protein phosphatase domain']"
PRPF18,['IPR014906'],['Pre-mRNA processing factor 4 (PRP4)-like']
GOLGA6L6,,
C8orf37,,
NTN5,"['IPR001134', 'IPR002049', 'IPR018933']","['Netrin domain', 'Laminin EGF domain', 'Netrin module, non-TIMP type']"
RAD9A,,
MROH6,,
ANKS4B,"['IPR001660', 'IPR020683', 'IPR037601']","['Sterile alpha motif domain', 'Ankyrin repeat-containing domain', 'ANKS4B, SAM domain']"
MZB1,['IPR021852'],['Domain of unknown function DUF3456']
ZNF709,,
GBP7,"['IPR003191', 'IPR015894', 'IPR037684']","['Guanylate-binding protein/Atlastin, C-terminal', 'Guanylate-binding protein, N-terminal', 'Guanylate-binding protein, C-terminal']"
SCLT1,,
ZNF473,"['IPR001909', 'IPR013087']","['Krueppel-associated box', 'Zinc finger C2H2-type']"
ZDHHC22,['IPR000731'],['Sterol-sensing domain']
LAMTOR2,['IPR004942'],['Roadblock/LAMTOR2 domain']
LRTM2,"['IPR000372', 'IPR000483']","['Leucine-rich repeat N-terminal domain', 'Cysteine-rich flanking region, C-terminal']"
FAM83C,"['IPR000372', 'IPR000483']","['Leucine-rich repeat N-terminal domain', 'Cysteine-rich flanking region, C-terminal']"
METTL3,,
FCF1,['IPR002716'],['PIN domain']
PABPN1,['IPR000504'],['RNA recognition motif domain']
ZNF257,,
TMX2,"['IPR013766', 'IPR037463']","['Thioredoxin domain', 'Thioredoxin-related transmembrane protein 2, thioredoxin domain']"
ATP8A1,"['IPR032630', 'IPR032631']","['P-type ATPase, C-terminal', 'P-type ATPase, N-terminal']"
ERICH4,"['IPR032630', 'IPR032631']","['P-type ATPase, C-terminal', 'P-type ATPase, N-terminal']"
GSTK1,['IPR001853'],['DSBA-like thioredoxin domain']
BMPER,"['IPR001007', 'IPR001846', 'IPR002919', 'IPR014853']","['VWFC domain', 'von Willebrand factor, type D domain', 'Trypsin Inhibitor-like, cysteine rich domain', 'Uncharacterised domain, cysteine-rich']"
SLC10A6,,
MRPL52,,
MRPS28,,
ZFP57,['IPR013087'],['Zinc finger C2H2-type']
CATSPERZ,,
NSG2,,
LINC00643,,
IP6K2,,
CBLN4,['IPR001073'],['C1q domain']
PHB2,['IPR001107'],['Band 7 domain']
C16orf78,,
SLC38A3,['IPR013057'],"['Amino acid transporter, transmembrane domain']"
DPH6,['IPR002761'],['Diphthamide synthase domain']
DEFB104B,,
LINGO2,"['IPR000372', 'IPR003598', 'IPR003599', 'IPR007110', 'IPR013098']","['Leucine-rich repeat N-terminal domain', 'Immunoglobulin subtype 2', 'Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin I-set']"
C12orf57,,
FRS2,"['IPR002404', 'IPR038742']","['IRS-type PTB domain', 'FRS2, PTB domain']"
C20orf144,"['IPR002404', 'IPR038742']","['IRS-type PTB domain', 'FRS2, PTB domain']"
NEUROD6,['IPR022575'],"['Neurogenic differentiation factor, domain of unknown function']"
COA3,['IPR018628'],"['Cytochrome c oxidase assembly factor 3, mitochondrial, coiled-coil domain']"
ZBTB12,['IPR013087'],['Zinc finger C2H2-type']
CDYL2,"['IPR000953', 'IPR023780']","['Chromo/chromo shadow domain', 'Chromo domain']"
COPS8,"['IPR000717', 'IPR033464']","['Proteasome component (PCI) domain', 'CSN8/PSMD8/EIF3K']"
GRK7,['IPR016137'],['RGS domain']
RTL3,['IPR032549'],['Domain of unknown function DUF4939']
CEP120,"['IPR000008', 'IPR022136']","['C2 domain', 'Domain of unknown function DUF3668']"
CDX2,"['IPR001356', 'IPR006820', 'IPR020479']","['Homeobox domain', 'Caudal-like activation domain', 'Homeobox domain, metazoa']"
ABTB2,"['IPR000210', 'IPR020683']","['BTB/POZ domain', 'Ankyrin repeat-containing domain']"
SIGLEC9,"['IPR003599', 'IPR007110', 'IPR013106']","['Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin V-set domain']"
MRPS17,,
GPATCH11,"['IPR000467', 'IPR025239']","['G-patch domain', 'Domain of unknown function DUF4187']"
KLK5,['IPR001254'],"['Serine proteases, trypsin domain']"
MORN2,,
SLC7A8,,
PTPN22,"['IPR000242', 'IPR000387', 'IPR003595']","['PTP type protein phosphatase', 'Tyrosine specific protein phosphatases domain', 'Protein-tyrosine phosphatase, catalytic']"
TVP23A,"['IPR000242', 'IPR000387', 'IPR003595']","['PTP type protein phosphatase', 'Tyrosine specific protein phosphatases domain', 'Protein-tyrosine phosphatase, catalytic']"
ANKFN1,"['IPR003961', 'IPR020683']","['Fibronectin type III', 'Ankyrin repeat-containing domain']"
VWA7,,
DDX52,"['IPR001650', 'IPR014001']","['Helicase, C-terminal', 'Helicase superfamily 1/2, ATP-binding domain']"
LSM2,['IPR001163'],"['LSM domain, eukaryotic/archaea-type']"
ADAMTS1,"['IPR001590', 'IPR002870', 'IPR006586', 'IPR010294', 'IPR041645']","['Peptidase M12B, ADAM/reprolysin', 'Peptidase M12B, propeptide', 'ADAM, cysteine-rich domain', 'ADAM-TS Spacer 1', 'ADAM cysteine-rich domain 2']"
SLC23A1,,
DDX20,"['IPR001650', 'IPR011545', 'IPR014001', 'IPR014014']","['Helicase, C-terminal', 'DEAD/DEAH box helicase domain', 'Helicase superfamily 1/2, ATP-binding domain', 'RNA helicase, DEAD-box type, Q motif']"
NOP9,,
PCGF3,,
MRPS7,['IPR023798'],['Ribosomal protein S7 domain']
LINC01551,['IPR023798'],['Ribosomal protein S7 domain']
KLF6,['IPR013087'],['Zinc finger C2H2-type']
EIF3C,"['IPR000717', 'IPR008905']","['Proteasome component (PCI) domain', 'Eukaryotic translation initiation factor 3 subunit C, N-terminal domain']"
PYROXD1,"['IPR000717', 'IPR008905']","['Proteasome component (PCI) domain', 'Eukaryotic translation initiation factor 3 subunit C, N-terminal domain']"
C9orf163,"['IPR000717', 'IPR008905']","['Proteasome component (PCI) domain', 'Eukaryotic translation initiation factor 3 subunit C, N-terminal domain']"
SEPHS2,['IPR016188'],"['PurM-like, N-terminal domain']"
SNAI3,,
ARL5C,['IPR005225'],['Small GTP-binding protein domain']
ZFP3,['IPR013087'],['Zinc finger C2H2-type']
CDCA3,,
AEN,['IPR013520'],"['Exonuclease, RNase T/DNA polymerase III']"
FERMT1,['IPR037837'],"['Kindlin/fermitin, PH domain']"
XAGE3,['IPR031320'],['GAGE']
SPSB2,"['IPR001496', 'IPR001870', 'IPR003877', 'IPR037340']","['SOCS box domain', 'B30.2/SPRY domain', 'SPRY domain', 'SSB2, SOCS box domain']"
CCDC38,"['IPR001496', 'IPR001870', 'IPR003877', 'IPR037340']","['SOCS box domain', 'B30.2/SPRY domain', 'SPRY domain', 'SSB2, SOCS box domain']"
CCL13,['IPR001811'],['Chemokine interleukin-8-like domain']
ZNF285,"['IPR001909', 'IPR013087']","['Krueppel-associated box', 'Zinc finger C2H2-type']"
RNF139,"['IPR001841', 'IPR011016', 'IPR025754']","['Zinc finger, RING-type', 'Zinc finger, RING-CH-type', 'TRC8 N-terminal domain']"
KLHL32,['IPR011705'],['BTB/Kelch-associated']
TTC1,['IPR013026'],['Tetratricopeptide repeat-containing domain']
VWA3B,['IPR032770'],['Domain of unknown function DUF4537']
DNAJC7,"['IPR001623', 'IPR013026']","['DnaJ domain', 'Tetratricopeptide repeat-containing domain']"
SLC25A21,,
IGKV3-11,"['IPR003599', 'IPR007110', 'IPR013106']","['Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin V-set domain']"
ZBTB1,,
TCRB,"['IPR007110', 'IPR013106']","['Immunoglobulin-like domain', 'Immunoglobulin V-set domain']"
,"['IPR007110', 'IPR013106']","['Immunoglobulin-like domain', 'Immunoglobulin V-set domain']"
TCRA,"['IPR007110', 'IPR013106']","['Immunoglobulin-like domain', 'Immunoglobulin V-set domain']"
HLA-A,"['IPR001039', 'IPR003597', 'IPR007110', 'IPR010579', 'IPR011161']","['MHC class I alpha chain, alpha1 alpha2 domains', 'Immunoglobulin C1-set', 'Immunoglobulin-like domain', 'MHC class I, alpha chain, C-terminal', 'MHC class I-like antigen recognition-like']"
GGT3P,,
CLSTN3,['IPR002126'],['Cadherin-like']
KDM2A,"['IPR001810', 'IPR001965', 'IPR002857', 'IPR019787', 'IPR041070']","['F-box domain', 'Zinc finger, PHD-type', 'Zinc finger, CXXC-type', 'Zinc finger, PHD-finger', 'Jumonji, helical domain']"
USP20,,
STXBP5L,"['IPR013905', 'IPR017986', 'IPR042855']","['Lethal giant larvae (Lgl)-like, C-terminal domain', 'WD40-repeat-containing domain', 'v-SNARE, coiled-coil homology domain']"
ZC3H15,"['IPR000571', 'IPR032378', 'IPR041367']","['Zinc finger, CCCH-type', 'ZC3H15/TMA46 family, C-terminal', 'E3 ligase, CCCH-type zinc finger']"
PRR33,"['IPR000571', 'IPR032378', 'IPR041367']","['Zinc finger, CCCH-type', 'ZC3H15/TMA46 family, C-terminal', 'E3 ligase, CCCH-type zinc finger']"
ZNF823,['IPR001909'],['Krueppel-associated box']
MYH15,"['IPR001609', 'IPR002928']","['Myosin head, motor domain', 'Myosin tail']"
LIMA1,['IPR001781'],"['Zinc finger, LIM-type']"
SIK3,"['IPR000719', 'IPR015940', 'IPR034672']","['Protein kinase domain', 'Ubiquitin-associated domain', 'Salt-Inducible kinase, catalytic domain']"
NDOR1,"['IPR001094', 'IPR001433', 'IPR001709', 'IPR008254', 'IPR017927']","['Flavodoxin-like', 'Oxidoreductase FAD/NAD(P)-binding', 'Flavoprotein pyridine nucleotide cytochrome reductase', 'Flavodoxin/nitric oxide synthase', 'FAD-binding domain, ferredoxin reductase-type']"
R3HDM2,,
TPH1,"['IPR002912', 'IPR019774', 'IPR041904']","['ACT domain', 'Aromatic amino acid hydroxylase, C-terminal', 'Tryptophan 5-hydroxylase, catalytic domain']"
FEZ1,,
ARHGAP17,"['IPR000198', 'IPR004148']","['Rho GTPase-activating protein domain', 'BAR domain']"
EPCAM,"['IPR000716', 'IPR041630']","['Thyroglobulin type-1', 'Epithelial cell adhesion molecule N-terminal domain']"
ANKEF1,"['IPR002048', 'IPR020683']","['EF-hand domain', 'Ankyrin repeat-containing domain']"
SRP68,['IPR034652'],"['Signal recognition particle subunit SRP68, RNA-binding domain']"
RC3H2,"['IPR000571', 'IPR001841', 'IPR041523']","['Zinc finger, CCCH-type', 'Zinc finger, RING-type', 'Roquin II']"
MEIS3,"['IPR001356', 'IPR032453']","['Homeobox domain', 'Homeobox protein PKNOX/Meis, N-terminal']"
IL12RB1,['IPR003961'],['Fibronectin type III']
LIFR,"['IPR003961', 'IPR040817', 'IPR040901']","['Fibronectin type III', 'Leukemia inhibitory factor receptor, D2 domain', 'Leukemia inhibitory factor receptor, N-terminal']"
AFF4,['IPR043640'],"['AF4/FMR2, C-terminal']"
MGLL,"['IPR000073', 'IPR022742']","['Alpha/beta hydrolase fold-1', 'Serine aminopeptidase, S33']"
TMED8,['IPR009038'],['GOLD domain']
LRPPRC,['IPR033443'],['Pentacotripeptide-repeat region of PRORP']
COG1,,
MAP3K5,"['IPR000719', 'IPR025136']","['Protein kinase domain', 'Domain of unknown function DUF4071']"
NPRL2,"['IPR000719', 'IPR025136']","['Protein kinase domain', 'Domain of unknown function DUF4071']"
GFI1,,
LINC01546,,
OAS2,"['IPR002934', 'IPR006116', 'IPR018952']","['Polymerase, nucleotidyl transferase domain', '2-5OAS/ClassI-CCAase, nucleotidyltransferase domain', ""2'-5'-oligoadenylate synthetase 1, domain 2/C-terminal""]"
TTC6,['IPR013026'],['Tetratricopeptide repeat-containing domain']
HLA-DPB1,"['IPR000353', 'IPR003597', 'IPR007110']","['MHC class II, beta chain, N-terminal', 'Immunoglobulin C1-set', 'Immunoglobulin-like domain']"
PRKCB,"['IPR000008', 'IPR000719', 'IPR000961', 'IPR002219', 'IPR017892', 'IPR020454', 'IPR034664']","['C2 domain', 'Protein kinase domain', 'AGC-kinase, C-terminal', 'Protein kinase C-like, phorbol ester/diacylglycerol-binding domain', 'Protein kinase, C-terminal', 'Diacylglycerol/phorbol-ester binding', 'Classical protein kinase C beta, catalytic domain']"
HEPH,"['IPR011706', 'IPR011707']","['Multicopper oxidase, type 2', 'Multicopper oxidase, type 3']"
IGHV5-10-1,"['IPR007110', 'IPR013106']","['Immunoglobulin-like domain', 'Immunoglobulin V-set domain']"
HSPB9,['IPR002068'],['Alpha crystallin/Hsp20 domain']
C20orf78,['IPR002068'],['Alpha crystallin/Hsp20 domain']
DIS3,"['IPR001900', 'IPR002716', 'IPR033770', 'IPR033771', 'IPR041505']","['Ribonuclease II/R', 'PIN domain', 'Exosome complex exonuclease RRP44, S1 domain', 'Rrp44-like cold shock domain', 'Dis3-like cold-shock domain 2']"
GSTT1,"['IPR004045', 'IPR004046', 'IPR010987', 'IPR040075', 'IPR040077']","['Glutathione S-transferase, N-terminal', 'Glutathione S-transferase, C-terminal', 'Glutathione S-transferase, C-terminal-like', 'Glutathione S-transferase Theta, N-terminal', 'Glutathione S-transferase Theta, C-terminal']"
FYCO1,"['IPR000306', 'IPR009038']","['FYVE zinc finger', 'GOLD domain']"
ZKSCAN5,"['IPR001909', 'IPR013087']","['Krueppel-associated box', 'Zinc finger C2H2-type']"
ASIC3,,
BMP2KL,,
MLH3,"['IPR013507', 'IPR014790']","['DNA mismatch repair protein,  S5 domain 2-like', 'MutL, C-terminal, dimerisation']"
GPR22,"['IPR013507', 'IPR014790']","['DNA mismatch repair protein,  S5 domain 2-like', 'MutL, C-terminal, dimerisation']"
LRCH1,['IPR001715'],['Calponin homology domain']
MKRN1,"['IPR000571', 'IPR001841', 'IPR031644']","['Zinc finger, CCCH-type', 'Zinc finger, RING-type', 'E3 ubiquitin-protein ligase makorin 1, C-terminal']"
SYT15,['IPR000008'],['C2 domain']
CNTNAP2,"['IPR000421', 'IPR000742', 'IPR001791', 'IPR002181', 'IPR003585']","['Coagulation factor 5/8 C-terminal domain', 'EGF-like domain', 'Laminin G domain', 'Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain', 'Neurexin/syndecan/glycophorin C']"
FRMD4B,"['IPR000299', 'IPR018979', 'IPR018980', 'IPR019748', 'IPR019749', 'IPR021774', 'IPR041785']","['FERM domain', 'FERM, N-terminal', 'FERM, C-terminal PH-like domain', 'FERM central domain', 'Band 4.1 domain', 'Domain of unknown function DUF3338', 'FRMD4A/B, FERM domain C-lobe']"
TRAPPC8,,
GPR20,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
SMAP2,['IPR001164'],['Arf GTPase activating protein']
GPR21,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
SCFD2,,
ZNF184,['IPR013087'],['Zinc finger C2H2-type']
NPC1L1,"['IPR000731', 'IPR032190']","['Sterol-sensing domain', 'Niemann-Pick C1, N-terminal']"
LPAR4,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
CGREF1,['IPR002048'],['EF-hand domain']
CGRRF1,['IPR002048'],['EF-hand domain']
KIAA0895L,['IPR002048'],['EF-hand domain']
TBC1D22B,['IPR000195'],['Rab-GTPase-TBC domain']
C14orf37,,
PRR26,,
KRT18,['IPR039008'],"['Intermediate filament, rod domain']"
ZNF441,['IPR013087'],['Zinc finger C2H2-type']
DCBLD1,"['IPR000421', 'IPR000859', 'IPR004043']","['Coagulation factor 5/8 C-terminal domain', 'CUB domain', 'LCCL domain']"
STRCP1,,
FAN1,['IPR014883'],['VRR-NUC domain']
SSUH2,,
PBRM1,"['IPR001025', 'IPR001487', 'IPR009071', 'IPR037968']","['Bromo adjacent homology (BAH) domain', 'Bromodomain', 'High mobility group box domain', 'Protein polybromo-1, Bromodomain 5']"
PRSS27,['IPR001254'],"['Serine proteases, trypsin domain']"
IL19,,
CDHR5,['IPR002126'],['Cadherin-like']
JPH2,,
ADCK1,['IPR004147'],['UbiB domain']
CIDEB,['IPR004147'],['UbiB domain']
SCARB1,,
THAP3,,
TBK1,"['IPR000719', 'IPR041087', 'IPR041309']","['Protein kinase domain', 'TANK binding kinase 1, ubiquitin-like domain', 'TANK-binding kinase 1, coiled-coil domain 1']"
CHORDC1,"['IPR007051', 'IPR007052']","['CHORD domain', 'CS domain']"
KLHL20,['IPR011705'],['BTB/Kelch-associated']
09-Sep,['IPR030379'],['Septin-type guanine nucleotide-binding (G) domain']
MDN1,"['IPR002035', 'IPR003593', 'IPR040848', 'IPR041190']","['von Willebrand factor, type A', 'AAA+ ATPase domain', 'Midasin, AAA lid domain 7', 'Midasin AAA lid domain 5']"
LYRM2,,
ABHD3,['IPR000073'],['Alpha/beta hydrolase fold-1']
U2AF1L4,['IPR000571'],"['Zinc finger, CCCH-type']"
IL12RB2,"['IPR003961', 'IPR010457']","['Fibronectin type III', 'Immunoglobulin C2-set-like, ligand-binding']"
TSPEAR,['IPR001791'],['Laminin G domain']
RGPD5,"['IPR000156', 'IPR000237']","['Ran binding domain', 'GRIP domain']"
UBQLN2,"['IPR000626', 'IPR006636', 'IPR015940']","['Ubiquitin-like domain', 'Heat shock chaperonin-binding', 'Ubiquitin-associated domain']"
OOSP1,,
GJB4,"['IPR013092', 'IPR019570']","['Connexin, N-terminal', 'Gap junction protein, cysteine-rich domain']"
KIF2C,['IPR001752'],['Kinesin motor domain']
SSC4D,"['IPR001190', 'IPR017448']","['SRCR domain', 'SRCR-like domain']"
ATP6V0D2,,
ACOT1,['IPR006862'],['Acyl-CoA thioester hydrolase/bile acid-CoA amino acid N-acetyltransferase']
YRDC,['IPR006070'],['YrdC-like domain']
ZFP41,['IPR013087'],['Zinc finger C2H2-type']
C12orf29,['IPR013087'],['Zinc finger C2H2-type']
MAB21L3,['IPR024810'],['Mab-21 domain']
TTC7B,['IPR013026'],['Tetratricopeptide repeat-containing domain']
GORASP1,['IPR024958'],['GRASP55/65 PDZ-like domain']
ASL,"['IPR022761', 'IPR029419']","['Fumarate lyase, N-terminal', 'Argininosuccinate lyase, C-terminal']"
CCDC89,"['IPR022761', 'IPR029419']","['Fumarate lyase, N-terminal', 'Argininosuccinate lyase, C-terminal']"
RTP3,,
OCSTAMP,,
FOLH1B,"['IPR007365', 'IPR007484']","['Transferrin receptor-like, dimerisation domain', 'Peptidase M28']"
NAT8,,
DDI1,['IPR019103'],"['Aspartic peptidase, DDI1-type']"
C16orf90,,
TRPV4,"['IPR005821', 'IPR020683']","['Ion transport domain', 'Ankyrin repeat-containing domain']"
STEAP1,['IPR013130'],['Ferric reductase transmembrane component-like domain']
HIST1H1C,['IPR005818'],"['Linker histone H1/H5, domain H15']"
HIST1H1D,,
HIST1H1B,,
HIF3A,"['IPR000014', 'IPR013655', 'IPR013767']","['PAS domain', 'PAS fold-3', 'PAS fold']"
CTLA4,"['IPR003599', 'IPR013106']","['Immunoglobulin subtype', 'Immunoglobulin V-set domain']"
TAT,"['IPR004839', 'IPR011715']","['Aminotransferase, class I/classII', 'Tyrosine aminotransferase ubiquitination region']"
NOC3L,['IPR011501'],"['Nucleolar complex-associated protein 3, N-terminal']"
FOXD4L1,['IPR001766'],['Fork head domain']
CHP1,['IPR002048'],['EF-hand domain']
CLEC4C,"['IPR001304', 'IPR033989']","['C-type lectin-like', 'CD209-like, C-type lectin-like domain']"
OSMR,"['IPR003961', 'IPR040817']","['Fibronectin type III', 'Leukemia inhibitory factor receptor, D2 domain']"
BPIFA3,['IPR017942'],"['Lipid-binding serum glycoprotein, N-terminal']"
IGKV1-16,"['IPR003599', 'IPR007110', 'IPR013106']","['Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin V-set domain']"
FAM222B,,
AIFM3,"['IPR017941', 'IPR023753', 'IPR028202']","['Rieske [2Fe-2S] iron-sulphur domain', 'FAD/NAD(P)-binding domain', 'Reductase, C-terminal']"
ATAD2,"['IPR001487', 'IPR041569']","['Bromodomain', 'AAA ATPase, AAA+ lid domain']"
IGKV1D-39,"['IPR003599', 'IPR007110', 'IPR013106']","['Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin V-set domain']"
SREK1IP1,"['IPR003599', 'IPR007110', 'IPR013106']","['Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin V-set domain']"
IL18R1,"['IPR000157', 'IPR003599', 'IPR007110']","['Toll/interleukin-1 receptor homology (TIR) domain', 'Immunoglobulin subtype', 'Immunoglobulin-like domain']"
MADCAM1,"['IPR003599', 'IPR007110', 'IPR015169']","['Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Adhesion molecule, immunoglobulin-like']"
NOX3,"['IPR013112', 'IPR013121', 'IPR017927']","['FAD-binding 8', 'Ferric reductase, NAD binding domain', 'FAD-binding domain, ferredoxin reductase-type']"
SLC20A1,"['IPR013112', 'IPR013121', 'IPR017927']","['FAD-binding 8', 'Ferric reductase, NAD binding domain', 'FAD-binding domain, ferredoxin reductase-type']"
RTCB,,
FBXO7,"['IPR001810', 'IPR021625']","['F-box domain', 'PI31 proteasome regulator,  N-terminal']"
SLC39A9,,
TMEM106B,,
SLC30A2,,
GAB1,,
PDCD6IP,"['IPR004328', 'IPR025304']","['BRO1 domain', 'ALIX V-shaped domain']"
GPR35,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
CAPN10,"['IPR022682', 'IPR022683', 'IPR033883']","['Peptidase C2, calpain, large subunit, domain III', 'Peptidase C2, calpain, domain III', 'Calpain subdomain III']"
SMAD4,"['IPR001132', 'IPR003619', 'IPR013019']","['SMAD domain, Dwarfin-type', 'MAD homology 1, Dwarfin-type', 'MAD homology, MH1']"
NUP133,['IPR007187'],"['Nucleoporin, Nup133/Nup155-like, C-terminal']"
RXFP1,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
LGR6,['IPR000372'],['Leucine-rich repeat N-terminal domain']
NEK6,"['IPR000719', 'IPR001245']","['Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain']"
SND1-IT1,"['IPR000719', 'IPR001245']","['Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain']"
,"['IPR000719', 'IPR001245']","['Protein kinase domain', 'Serine-threonine/tyrosine-protein kinase, catalytic domain']"
BIRC3,['IPR001841'],"['Zinc finger, RING-type']"
TCIRG1,,
SNAPC2,,
CYTH4,['IPR001849'],['Pleckstrin homology domain']
AKAP14,,
ANK2,"['IPR000488', 'IPR020683']","['Death domain', 'Ankyrin repeat-containing domain']"
C9orf163,"['IPR000488', 'IPR020683']","['Death domain', 'Ankyrin repeat-containing domain']"
RTN4RL2,['IPR000483'],"['Cysteine-rich flanking region, C-terminal']"
RTN4RL1,['IPR000483'],"['Cysteine-rich flanking region, C-terminal']"
MFSD2B,,
ZNF251,"['IPR001909', 'IPR013087']","['Krueppel-associated box', 'Zinc finger C2H2-type']"
LMBRD1,,
XPO7,,
ACER3,,
PICALM,"['IPR011417', 'IPR013809']","['AP180 N-terminal homology (ANTH) domain', 'ENTH  domain']"
ADGRL4,"['IPR000203', 'IPR000742', 'IPR001881', 'IPR017981', 'IPR032471']","['GPS motif', 'EGF-like domain', 'EGF-like calcium-binding domain', 'GPCR, family 2-like', 'GAIN domain, N-terminal']"
GPM6B,,
BIRC2,"['IPR001315', 'IPR001841', 'IPR041933']","['CARD domain', 'Zinc finger, RING-type', 'BIRC2/BIRC3, UBA domain']"
MTM1,"['IPR000387', 'IPR004182', 'IPR010569']","['Tyrosine specific protein phosphatases domain', 'GRAM domain', 'Myotubularin-like phosphatase domain']"
MAMLD1,"['IPR000387', 'IPR004182', 'IPR010569']","['Tyrosine specific protein phosphatases domain', 'GRAM domain', 'Myotubularin-like phosphatase domain']"
NEMP2,,
LRRC4,"['IPR000372', 'IPR000483', 'IPR003598', 'IPR003599', 'IPR007110', 'IPR013098']","['Leucine-rich repeat N-terminal domain', 'Cysteine-rich flanking region, C-terminal', 'Immunoglobulin subtype 2', 'Immunoglobulin subtype', 'Immunoglobulin-like domain', 'Immunoglobulin I-set']"
MUC5B,"['IPR001007', 'IPR001846', 'IPR002919', 'IPR006207', 'IPR014853', 'IPR025155']","['VWFC domain', 'von Willebrand factor, type D domain', 'Trypsin Inhibitor-like, cysteine rich domain', 'Cystine knot, C-terminal', 'Uncharacterised domain, cysteine-rich', 'WxxW domain']"
SDHAF1,,
LPAR2,['IPR017452'],"['GPCR, rhodopsin-like, 7TM']"
MAJIN,,
CD84,"['IPR003599', 'IPR007110']","['Immunoglobulin subtype', 'Immunoglobulin-like domain']"
FABP5,"['IPR000463', 'IPR000566']","['Cytosolic fatty-acid binding', 'Lipocalin/cytosolic fatty-acid binding domain']"
TTC34,['IPR013026'],['Tetratricopeptide repeat-containing domain']
DCAF13,"['IPR013979', 'IPR017986']","['Translation initiation factor, beta propellor-like domain', 'WD40-repeat-containing domain']"
SH2D3A,['IPR001895'],['Ras guanine-nucleotide exchange factors catalytic domain']
VPS25,,
ZBTB20,"['IPR000210', 'IPR013087']","['BTB/POZ domain', 'Zinc finger C2H2-type']"
PTPMT1,"['IPR000387', 'IPR020422']","['Tyrosine specific protein phosphatases domain', 'Dual specificity protein phosphatase domain']"
CENPJ,['IPR009852'],"['T-complex protein 10, C-terminal domain']"
FSCB,,
POPDC3,,
CRLF2,['IPR003961'],['Fibronectin type III']
SPACA1,,
ASCC1,,
LRRC57,,
GPAT4,['IPR002123'],['Phospholipid/glycerol acyltransferase']
BANP,['IPR018379'],['BEN domain']
SH3BP1,['IPR000198'],['Rho GTPase-activating protein domain']
